Hour	Zone0	Zone1	Zone2	Zone3	Zone4	
0	0.00 	0.00 	0.00 	0.00 	0.00 	
1	163.00 	0.22 	0.00 	0.23 	0.00 	
2	222.00 	0.01 	1.62 	0.01 	1.62 	
3	249.00 	0.01 	1.72 	0.01 	1.72 	
4	285.00 	0.00 	0.70 	0.00 	0.68 	
5	319.00 	0.00 	0.30 	0.00 	0.22 	
6	295.00 	0.02 	2.64 	0.02 	2.64 	
7	208.00 	0.00 	0.60 	0.00 	0.58 	
8	183.00 	0.00 	0.43 	0.00 	0.40 	
9	132.00 	27.86 	0.93 	27.86 	0.92 	
10	133.00 	189.92 	5.95 	190.02 	5.79 	
11	133.00 	183.03 	11.73 	183.45 	11.33 	
12	165.00 	179.65 	14.98 	181.28 	14.14 	
13	163.00 	170.46 	23.59 	172.54 	22.26 	
14	193.00 	162.35 	33.44 	164.79 	31.52 	
15	193.00 	152.45 	46.40 	154.85 	44.21 	
16	189.00 	147.74 	53.01 	150.43 	50.23 	
17	268.00 	143.68 	62.77 	146.58 	59.02 	
18	302.00 	140.40 	73.13 	143.43 	68.23 	
19	315.00 	28.15 	2.54 	28.18 	2.23 	
20	332.00 	315.62 	322.95 	315.64 	322.97 	
21	268.00 	254.97 	260.73 	254.97 	260.74 	
22	233.00 	221.10 	226.70 	221.10 	226.70 	
23	200.00 	189.85 	194.67 	189.85 	194.66 	
24	175.00 	0.48 	1.80 	0.48 	1.69 	
25	158.00 	0.01 	1.26 	0.01 	1.16 	
26	158.00 	0.01 	1.27 	0.01 	1.17 	
27	187.00 	0.01 	1.52 	0.01 	1.39 	
28	187.00 	0.01 	1.40 	0.01 	1.25 	
29	227.00 	0.02 	1.89 	0.01 	1.73 	
30	227.00 	0.02 	1.90 	0.01 	1.74 	
31	261.00 	0.02 	2.19 	0.02 	2.01 	
32	243.00 	0.02 	2.03 	0.01 	1.86 	
33	173.00 	27.79 	1.65 	27.81 	1.53 	
34	191.00 	186.37 	13.58 	186.78 	12.71 	
35	132.00 	176.49 	21.47 	177.70 	20.02 	
36	133.00 	171.27 	25.38 	175.06 	22.09 	
37	128.00 	159.84 	33.83 	163.89 	30.19 	
38	142.00 	150.44 	42.27 	154.69 	38.23 	
39	169.00 	143.05 	51.42 	147.42 	46.78 	
40	316.00 	137.45 	69.51 	141.80 	63.29 	
41	251.00 	133.26 	81.89 	137.37 	74.74 	
42	251.00 	130.16 	93.44 	133.89 	85.48 	
43	238.00 	28.04 	3.00 	28.07 	2.68 	
44	209.00 	199.05 	203.42 	199.06 	203.43 	
45	183.00 	174.39 	178.11 	174.40 	178.12 	
46	142.00 	134.79 	138.21 	134.79 	138.21 	
47	159.00 	150.96 	154.78 	150.96 	154.78 	
48	182.00 	0.41 	2.31 	0.40 	2.17 	
49	164.00 	0.02 	1.75 	0.02 	1.61 	
50	163.00 	0.02 	1.76 	0.02 	1.61 	
51	151.00 	0.02 	1.65 	0.01 	1.50 	
52	211.00 	0.03 	2.33 	0.02 	2.12 	
53	244.00 	0.03 	2.71 	0.02 	2.47 	
54	293.00 	0.04 	3.29 	0.03 	3.00 	
55	330.00 	0.04 	3.71 	0.03 	3.38 	
56	397.00 	0.05 	4.44 	0.04 	4.05 	
57	319.00 	27.75 	3.86 	27.77 	3.56 	
58	257.00 	185.06 	22.74 	185.56 	21.06 	
59	219.00 	173.12 	39.81 	174.29 	37.12 	
60	207.00 	162.42 	54.43 	164.08 	50.86 	
61	198.00 	163.01 	58.28 	166.89 	53.98 	
62	197.00 	154.31 	71.12 	158.10 	66.35 	
63	204.00 	145.37 	87.03 	148.51 	82.19 	
64	212.00 	141.76 	95.65 	144.89 	90.00 	
65	214.00 	138.59 	104.82 	141.40 	98.65 	
66	241.00 	136.40 	115.31 	138.78 	108.51 	
67	241.00 	28.02 	3.53 	28.05 	3.20 	
68	234.00 	222.79 	227.76 	222.81 	227.77 	
69	210.00 	200.06 	204.43 	200.07 	204.44 	
70	235.00 	223.11 	228.76 	223.11 	228.76 	
71	235.00 	223.20 	228.86 	223.20 	228.86 	
72	227.00 	0.60 	3.14 	0.60 	2.96 	
73	218.00 	0.03 	2.59 	0.03 	2.39 	
74	220.00 	0.03 	2.66 	0.03 	2.45 	
75	216.00 	0.03 	2.64 	0.03 	2.42 	
76	216.00 	0.03 	2.67 	0.03 	2.45 	
77	157.00 	0.02 	1.96 	0.02 	1.80 	
78	218.00 	0.03 	2.74 	0.03 	2.51 	
79	250.00 	0.04 	3.22 	0.04 	2.97 	
80	290.00 	0.05 	3.59 	0.04 	3.29 	
81	282.00 	27.58 	5.84 	27.59 	5.68 	
82	272.00 	180.62 	37.49 	180.84 	36.42 	
83	272.00 	168.79 	61.03 	169.50 	58.88 	
