New Delhi Delhi IND
December to December - daily simulation
28.58
216
Temp	WindVel	WindDir	SDirR	SDiffR	DTemp	DWVel	DWDir	DSDirR	DSDiffR	omega	Domega	Declination
11	0.1	19	0	0	1.1	0.3	139	0	0	0.0072	0.0005	-19.15
12.1	0.4	158	0	0	-0.9	0.2	112	0	0	0.0077	-0.0004	-23.35
11.2	0.6	270	0	0	0.2	-0.1	37	0	0	0.0073	-0.0002	-23.35
11.4	0.5	307	0	0	-0.4	0	38	0	0	0.0071	-0.0003	-23.35
11	0.5	345	0	0	-0.4	0.1	-53	0	0	0.0068	0.0001	-23.35
10.6	0.6	292	0	0	-0.4	0.1	-257	0	0	0.0069	-0.0002	-23.35
10.2	0.7	35	0	0	0.9	-0.1	-31	0	0	0.0067	0.0001	-23.35
11.1	0.6	4	0	0	1.7	0	288	0	0	0.0068	0.0004	-23.35
12.8	0.6	292	0	0	3.1	-0.2	-166	173	66	0.0072	0.0008	-23.35
15.9	0.4	126	173	66	3	0	-86	99	66	0.008	0.0005	-23.35
18.9	0.4	40	272	132	3.1	0.2	-40	404	-24	0.0085	0.0003	-23.35
22	0.6	0	676	108	1.6	0.3	105	305	-52	0.0088	-0.0007	-23.35
23.6	0.9	105	981	56	1.1	0.2	94	-252	74	0.0081	-0.0007	-23.35
24.7	1.1	199	729	130	-0.1	0	93	-154	38	0.0074	-0.0009	-23.35
24.6	1.1	292	575	168	-0.2	-0.3	-54	-35	-16	0.0065	0	-23.35
24.4	0.8	238	540	152	-1.2	-0.4	-88	-387	8	0.0065	0.0004	-23.35
23.2	0.4	150	153	160	-1.4	-0.4	-150	-42	-72	0.0069	0.0009	-23.35
21.8	0	0	111	88	-2.4	0	0	-111	-88	0.0078	0.0005	-23.35
19.4	0	0	0	0	-2.2	0	0	0	0	0.0083	0.0004	-23.35
17.2	0	0	0	0	-2.4	0	0	0	0	0.0087	-0.0003	-23.35
14.8	0	0	0	0	-1.2	0.1	20	0	0	0.0084	-0.0002	-23.35
13.6	0.1	20	0	0	-0.8	0	32	0	0	0.0082	-0.0004	-23.35
12.8	0.1	52	0	0	0.2	-0.1	-52	0	0	0.0078	-0.0001	-23.35
13	0	0	0	0	-0.2	0	0	0	0	0.0077	-0.0001	-23.35
12.8	0	0	0	0	0.2	0	0	0	0	0.0076	0.0001	-23.35
13	0	0	0	0	-0.6	0	0	0	0	0.0077	-0.0001	-23.35
12.4	0	0	0	0	-0.4	0.1	54	0	0	0.0076	-0.0001	-23.35
12	0.1	54	0	0	-1	0.3	141	0	0	0.0075	-0.0003	-23.35
11	0.4	195	0	0	-0.8	-0.4	-195	0	0	0.0072	-0.0004	-23.35
10.2	0	0	0	0	-0.4	0	5	0	0	0.0068	-0.0001	-23.35
9.8	0	5	0	0	0.7	0	-5	0	0	0.0067	0.0002	-23.35
10.5	0	0	0	0	1.7	0	0	0	0	0.0069	0.0004	-23.35
12.2	0	0	0	0	3	0.4	7	318	57	0.0073	0.0003	-23.35
15.2	0.4	7	318	57	3.4	0.4	50	506	-6	0.0076	0.0001	-23.35
18.6	0.8	57	824	51	3.4	0.3	55	215	-17	0.0077	0	-23.35
22	1.1	112	1039	34	2.3	0	78	115	-13	0.0077	-0.0003	-23.35
24.3	1.1	190	1154	21	1.2	-0.2	33	-156	36	0.0074	-0.0001	-23.35
25.5	0.9	223	998	57	-0.1	-0.3	2	-397	104	0.0073	0	-23.35
25.4	0.6	225	601	161	-0.9	-0.3	-69	-375	61	0.0073	0.0004	-23.35
24.5	0.3	156	226	222	-1.7	-0.3	-74	-119	-69	0.0077	0.0004	-23.35
22.8	0	82	107	153	-1.8	0	-82	-97	-106	0.0081	0.0006	-23.35
21	0	0	10	47	-2.1	0	0	-10	-47	0.0087	0.0003	-23.35
18.9	0	0	0	0	-1.9	0	0	0	0	0.009	-0.0002	-23.35
17	0	0	0	0	-1.8	0	0	0	0	0.0088	-0.0002	-23.35
15.2	0	0	0	0	-1.2	0.1	8	0	0	0.0086	-0.0004	-23.35
14	0.1	8	0	0	-0.9	-0.1	11	0	0	0.0082	-0.0002	-23.35
13.1	0	19	0	0	-0.3	0	-19	0	0	0.008	-0.0001	-23.35
12.8	0	0	0	0	-0.2	0	0	0	0	0.0079	-0.0001	-23.35
12.6	0	0	0	0	-0.1	0	0	0	0	0.0078	0.0001	-23.35
12.5	0	0	0	0	-0.3	0	0	0	0	0.0079	-0.0002	-23.35
12.2	0	0	0	0	-0.4	0.1	0	0	0	0.0077	-0.0003	-23.35
11.8	0.1	0	0	0	-0.9	-0.1	10	0	0	0.0074	-0.0004	-23.35
