 delta_p[0][1]  delta_p[0][2]  delta_p[0][3]  delta_p[0][4]  delta_p[1][0]  delta_p[1][2]  delta_p[2][0]  delta_p[2][1]  delta_p[3][0]  delta_p[3][4]  delta_p[4][0]  delta_p[4][3] 
 -1.5125569099438962E-6  1.7089950681281607E-6  -1.5125568495477637E-6  1.708994986415746E-6  3.7902829319591547E-8  -6.385409534459541E-9  -3.0633465506468838E-6  6.385409534459541E-9  3.790276537074533E-8  -6.385548090293014E-9  -3.063346468934469E-6  6.385548090293014E-9 
 -2.8114789813571406E-5  3.178122499036817E-5  -2.9492815471598988E-5  3.333875368127792E-5  2.365851300467625E-5  -1.1875305006014969E-7  -3.587212632893966E-5  1.1875305006014969E-7  2.5035823128405355E-5  -1.2447699759832176E-7  -3.743020472768421E-5  1.2447699759832176E-7 
 -4.2104308338508645E-5  4.7636583456522885E-5  -4.380969899386855E-5  4.9566293043312726E-5  3.322581070719366E-5  -1.77865416617351E-7  -5.5785569273325564E-5  1.77865416617351E-7  3.493235324469879E-5  -1.8497890152957552E-7  -5.7713949431104083E-5  1.8497890152957552E-7 
 -5.506811643840592E-5  6.235971864398948E-5  -5.662752776913749E-5  6.412651335097053E-5  4.04387238148729E-5  -2.3264066584260945E-7  -7.578510200900723E-5  2.3264066584260945E-7  4.2003783534028116E-5  -2.391442848193037E-7  -7.754628926193163E-5  2.391442848193037E-7 
 4.6696317945915666E-4  -5.674378126450108E-4  4.656654519124004E-4  -5.658480302770386E-4  -4.504248915040421E-4  2.042843050276133E-6  5.452335069833225E-4  -2.042843050276133E-6  -4.491372823878237E-4  2.037121589637536E-6  5.436579411650655E-4  -2.037121589637536E-6 
 7.579776145298922E-4  -9.218642994994752E-4  7.635142369366577E-4  -9.285718945477583E-4  -7.365893733215501E-4  3.3184318404266833E-6  8.930545260064093E-4  -3.3184318404266833E-6  -7.421448927260599E-4  3.3425610865833733E-6  8.997841937485873E-4  -3.3425610865833733E-6 
 9.437417994853092E-4  -0.001148751841483886  9.492276242184516E-4  -0.0011553903866001747  -9.1672558101763E-4  4.1350488722002865E-6  0.0011123378844146714  -4.1350488722002865E-6  -9.222390181946594E-4  4.158927936259715E-6  0.0011190094753601443  -4.158927936259715E-6 
 0.001141670684237539  -0.0013908703990921367  0.0011467749426259388  -0.0013970076117573171  -0.0011082419917372022  5.005634857724317E-6  0.0013457892032668894  -5.005634857724317E-6  -0.001113384204529666  5.0285827200013955E-6  0.0013519728644411089  -5.0285827200013955E-6 
 0.0013578911809517535  -0.0016556259227620274  0.00136246626540526  -0.001661177111529355  -0.0013169417372935754  5.958907987491102E-6  0.0016008513184537776  -5.958907987491102E-6  -0.0013215673714341847  5.9786029567021615E-6  0.0016064649754525817  -5.9786029567021615E-6 
 0.0012760235269553277  -0.0015555770597153185  0.0012795468157520418  -0.001559795362567229  -0.0012385673081247717  5.5991497696084025E-6  0.0015054622460084488  -5.5991497696084025E-6  -0.0012421410253296017  5.614265006670394E-6  0.0015097443079810091  -5.614265006670394E-6 
 0.0011898645120496099  -0.0014503362448081702  0.0011919906937691849  -0.0014528492716152641  -0.00115572933864172  5.220329850175176E-6  0.0014046605696727  -5.220329850175176E-6  -0.0011579049872239011  5.229300256814895E-6  0.001407237621165791  -5.229300256814895E-6 
 0.0011056684788890436  -0.0013475158545581678  0.001106541844677622  -0.0013485009019973404  -0.0010746885716734766  4.850231714925712E-6  0.0013060599546186324  -4.850231714925712E-6  -0.001075610078530076  4.853689645756276E-6  0.001307108452451189  -4.853689645756276E-6 
 2.5525319186670004E-4  -3.1104088481015424E-4  2.549770232604942E-4  -3.1068509585452375E-4  -2.9188840990812537E-4  1.1195556162135745E-6  2.7171746802778785E-4  -1.1195556162135745E-6  -2.91551371375931E-4  1.118096605523533E-6  2.7142694692372515E-4  -1.118096605523533E-6 
 1.7007715385020106E-4  -2.0732816051705072E-4  1.649369374234766E-4  -2.010483882486369E-4  -2.07154823890221E-4  7.463025006870794E-7  1.6759826435475134E-4  -7.463025006870794E-7  -2.0195277049595006E-4  7.23698704518938E-7  1.6138858093484032E-4  -7.23698704518938E-7 
 1.63921432069003E-4  -1.999004131505444E-4  1.5838823077274355E-4  -1.9313863511172258E-4  -2.0138315927908934E-4  7.195687814487428E-7  1.5976488914049014E-4  -7.195687814487428E-7  -1.957838605761708E-4  6.95229644520623E-7  1.530780598812953E-4  -6.95229644520623E-7 
 1.6235353547955356E-4  -1.9806380147358027E-4  1.5683041011982368E-4  -1.9131096794922087E-4  -2.0019559496731176E-4  7.129584851384152E-7  1.575230562345098E-4  -7.129584851384152E-7  -1.946017948455392E-4  6.886514114512465E-7  1.5085005618686864E-4  -6.886514114512465E-7 
 9.911524190542309E-5  -1.2096201988498478E-4  9.357305314949826E-5  -1.1418880772851026E-4  -1.4005105966674591E-4  4.354197677969296E-7  8.269346801270672E-5  -4.354197677969296E-7  -1.3442826883647285E-4  4.1103903924977203E-7  7.599945858771662E-5  -4.1103903924977203E-7 
 7.748126337858707E-5  -9.459547799295365E-5  7.027824993599552E-5  -8.57939544545161E-5  -1.230760093520189E-4  3.405141484336127E-7  5.198732768718628E-5  -3.405141484336127E-7  -1.1578011141466504E-4  3.088211997237522E-7  4.3278209133745804E-5  -3.088211997237522E-7 
 7.05717750051349E-5  -8.619254059283321E-5  6.28759879646168E-5  -7.678624497486908E-5  -1.2110611364590795E-4  3.1026684865764764E-7  3.897233170846448E-5  -3.1026684865764764E-7  -1.1330283915356176E-4  2.7639474353691185E-7  2.9673058676848996E-5  -2.7639474353691185E-7 
