Hour	Zone0	Zone1	Zone2	Zone3	Zone4	
0	0.00	22.00	22.00	22.00	22.00	
1	12.09	22.21	22.20	22.20	22.19	
2	11.21	22.21	22.26	22.20	22.25	
3	11.40	22.25	22.30	22.23	22.28	
4	11.00	22.30	22.33	22.28	22.31	
5	10.60	22.34	22.37	22.31	22.34	
6	10.20	22.32	22.40	22.28	22.36	
7	11.09	22.38	22.43	22.34	22.38	
8	12.79	22.42	22.46	22.37	22.41	
9	15.87	22.45	22.58	22.40	22.52	
10	18.88	22.51	22.72	22.45	22.64	
11	21.97	22.56	22.94	22.49	22.84	
12	23.59	22.59	23.12	22.52	23.00	
13	24.69	22.65	23.14	22.56	22.99	
14	24.60	22.70	23.11	22.61	22.96	
15	24.40	22.74	23.07	22.64	22.91	
16	23.21	22.79	23.08	22.68	22.91	
17	21.81	22.82	23.08	22.70	22.91	
18	19.42	22.81	23.08	22.69	22.90	
19	17.22	22.80	23.09	22.68	22.91	
20	14.82	15.17	15.50	15.16	15.48	
21	13.61	13.95	14.28	13.95	14.28	
22	12.81	13.14	13.47	13.14	13.47	
23	13.00	13.28	13.57	13.29	13.57	
24	12.80	19.33	19.64	19.55	19.81	
25	13.00	19.81	20.11	19.96	20.22	
26	12.40	20.05	20.36	20.17	20.43	
27	12.00	20.20	20.52	20.29	20.56	
28	11.01	20.31	20.64	20.38	20.65	
29	10.21	20.39	20.72	20.44	20.72	
30	9.80	20.46	20.80	20.50	20.78	
31	10.49	20.52	20.86	20.55	20.83	
32	12.19	20.58	20.91	20.60	20.88	
33	15.17	20.65	21.12	20.65	21.06	
34	18.57	20.71	21.46	20.71	21.37	
35	21.97	20.78	21.72	20.77	21.60	
36	24.28	20.83	21.87	20.80	21.71	
37	25.49	20.90	21.87	20.87	21.70	
38	25.40	20.97	21.81	20.93	21.63	
39	24.51	21.04	21.77	20.99	21.59	
40	22.81	21.08	21.77	21.02	21.58	
41	21.02	21.09	21.77	21.03	21.57	
42	18.92	21.09	21.77	21.02	21.57	
43	17.02	21.09	21.79	21.03	21.58	
44	15.21	15.47	15.74	15.47	15.72	
45	14.01	14.28	14.56	14.28	14.55	
46	13.11	13.38	13.66	13.38	13.66	
47	12.80	13.06	13.32	13.06	13.33	
48	12.60	18.37	18.90	18.57	19.01	
49	12.50	18.77	19.32	18.91	19.37	
50	12.20	18.97	19.54	19.08	19.55	
51	11.80	19.10	19.68	19.19	19.67	
52	10.91	19.19	19.78	19.26	19.75	
53	10.60	19.27	19.86	19.32	19.82	
54	9.71	19.32	19.93	19.37	19.87	
55	10.69	19.38	19.99	19.42	19.92	
56	12.19	19.44	20.04	19.46	19.96	
57	16.07	19.51	20.26	19.53	20.16	
58	19.37	19.58	20.61	19.59	20.48	
59	22.97	19.66	20.86	19.66	20.69	
60	24.19	19.72	20.98	19.70	20.79	
61	24.99	19.77	20.93	19.75	20.74	
62	24.21	19.87	20.89	19.83	20.68	
63	24.10	19.93	20.86	19.89	20.64	
64	22.91	19.97	20.87	19.92	20.64	
65	22.01	20.00	20.88	19.94	20.64	
66	19.42	19.99	20.88	19.93	20.64	
67	17.32	19.99	20.89	19.92	20.65	
68	14.62	14.87	15.13	14.86	15.11	
69	13.71	13.95	14.20	13.94	14.19	
70	12.71	12.96	13.23	12.96	13.23	
71	13.20	13.39	13.61	13.39	13.61	
72	12.70	17.63	18.27	17.79	18.35	
73	12.90	17.97	18.65	18.09	18.67	
74	12.01	18.15	18.85	18.24	18.83	
75	12.00	18.27	18.98	18.33	18.94	
76	10.91	18.35	19.08	18.40	19.01	
77	10.21	18.41	19.16	18.45	19.08	
78	9.80	18.46	19.22	18.49	19.13	
79	10.69	18.51	19.28	18.53	19.17	
80	12.19	18.57	19.32	18.58	19.21	
81	14.98	18.62	19.53	18.62	19.40	
82	17.58	18.70	19.81	18.69	19.65	
83	20.38	18.77	20.06	18.76	19.88	
84	22.09	18.83	20.21	18.81	19.99	
85	23.49	18.89	20.31	18.85	20.09	
86	23.80	18.96	20.19	18.92	19.95	
87	24.00	19.01	20.24	18.96	20.00	
88	23.11	19.10	20.15	19.03	19.90	
89	21.81	19.13	20.15	19.05	19.89	
90	19.32	19.10	20.16	19.03	19.89	
91	16.92	19.10	20.16	19.02	19.90	
92	14.42	14.64	14.88	14.63	14.86	
93	13.21	13.44	13.69	13.44	13.68	
94	12.41	12.64	12.90	12.64	12.89	
95	12.60	12.79	13.01	12.79	13.01	
96	12.50	16.92	17.66	17.06	17.71	
97	12.60	17.24	18.03	17.33	18.02	
98	12.00	17.41	18.22	17.48	18.18	
99	11.60	17.52	18.35	17.57	18.28	
100	10.61	17.60	18.44	17.63	18.35	
101	11.20	17.70	18.52	17.73	18.40	
102	10.90	17.71	18.58	17.71	18.46	
103	11.59	17.77	18.63	17.77	18.51	
104	12.39	17.82	18.68	17.81	18.55	
105	14.78	17.89	18.85	17.87	18.70	
106	17.28	17.96	19.13	17.93	18.95	
107	20.18	18.01	19.41	17.98	19.20	
108	21.79	18.08	19.54	18.04	19.31	
109	22.99	18.13	19.57	18.08	19.32	
110	22.60	18.19	19.52	18.13	19.26	
111	22.20	18.26	19.47	18.19	19.21	
112	20.81	18.33	19.46	18.26	19.20	
113	19.61	18.33	19.47	18.24	19.20	
114	17.72	18.32	19.47	18.23	19.19	
115	16.61	18.33	19.48	18.24	19.20	
116	15.41	15.54	15.71	15.54	15.69	
117	15.20	15.32	15.47	15.31	15.46	
118	14.51	14.64	14.81	14.64	14.80	
119	14.20	14.34	14.50	14.34	14.49	
120	13.01	17.07	17.84	17.12	17.79	
121	12.21	17.28	18.09	17.29	18.00	
122	11.21	17.38	18.23	17.37	18.11	
123	11.20	17.45	18.32	17.43	18.19	
124	10.90	17.50	18.39	17.47	18.24	
125	10.01	17.61	18.39	17.57	18.22	
126	9.31	17.53	18.49	17.47	18.32	
127	9.80	17.69	18.41	17.63	18.23	
128	11.39	17.63	18.56	17.56	18.37	
129	14.18	17.73	18.65	17.66	18.46	
130	17.27	17.80	19.01	17.72	18.79	
131	20.37	17.86	19.34	17.78	19.08	
132	22.48	17.91	19.48	17.82	19.19	
133	23.69	17.97	19.46	17.88	19.16	
134	23.80	18.04	19.39	17.94	19.09	
135	23.30	18.10	19.35	17.98	19.04	
136	22.11	18.17	19.34	18.04	19.02	
137	20.61	18.19	19.34	18.06	19.02	
138	18.72	18.17	19.34	18.04	19.02	
139	17.01	18.17	19.35	18.03	19.03	
140	15.41	15.54	15.71	15.54	15.69	
141	14.61	14.75	14.92	14.74	14.91	
142	14.10	14.25	14.42	14.25	14.41	
143	14.20	14.32	14.47	14.32	14.46	
144	14.20	16.89	17.66	16.90	17.60	
145	14.10	17.13	17.88	17.11	17.76	
146	13.41	17.24	18.05	17.20	17.89	
147	12.51	17.28	18.15	17.23	17.98	
148	11.11	17.34	18.22	17.27	18.04	
149	10.41	17.43	18.22	17.35	18.02	
150	9.51	17.36	18.31	17.27	18.11	
151	9.80	17.44	18.37	17.35	18.15	
152	11.39	17.45	18.40	17.36	18.18	
153	14.18	17.51	18.58	17.40	18.35	
154	17.27	17.59	18.94	17.48	18.68	
155	20.18	17.66	19.20	17.55	18.90	
156	22.18	17.73	19.28	17.60	18.96	
157	23.49	17.79	19.29	17.66	18.96	
158	23.80	17.83	19.25	17.69	18.91	
159	23.70	17.88	19.18	17.74	18.84	
160	22.71	17.95	19.18	17.80	18.83	
161	21.21	17.99	19.19	17.82	18.83	
162	18.82	17.97	19.18	17.80	18.82	
163	16.22	17.95	19.19	17.79	18.83	
164	13.62	13.83	14.06	13.82	14.04	
165	11.91	12.16	12.43	12.15	12.41	
166	11.01	11.25	11.52	11.25	11.51	
167	11.40	11.59	11.81	11.59	11.81	
168	12.19	15.75	16.60	15.84	16.59	
169	13.19	16.09	16.98	16.12	16.91	
170	13.40	16.26	17.18	16.27	17.07	
171	13.00	16.37	17.30	16.35	17.17	
172	11.71	16.45	17.40	16.41	17.25	
173	10.41	16.49	17.47	16.45	17.30	
174	9.11	16.52	17.53	16.46	17.35	
175	9.70	16.58	17.59	16.52	17.40	
176	10.59	16.63	17.63	16.56	17.44	
177	14.47	16.71	17.85	16.63	17.64	
178	17.77	16.78	18.20	16.69	17.95	
179	21.77	16.86	18.41	16.77	18.13	
180	22.89	16.91	18.43	16.80	18.15	
181	23.89	17.03	18.41	16.91	18.11	
182	22.81	17.13	18.39	17.01	18.09	
183	22.90	17.09	18.45	16.96	18.14	
184	21.61	17.14	18.41	17.00	18.10	
185	21.01	17.19	18.41	17.05	18.08	
186	18.22	17.18	18.40	17.03	18.08	
187	16.22	17.18	18.41	17.03	18.08	
188	13.22	13.42	13.64	13.41	13.62	
189	12.41	12.59	12.81	12.59	12.79	
190	11.01	11.24	11.49	11.24	11.48	
191	11.40	11.57	11.77	11.57	11.77	
192	10.41	15.28	16.13	15.35	16.12	
193	10.80	15.58	16.48	15.60	16.41	
194	10.01	15.73	16.66	15.72	16.56	
195	10.79	15.83	16.78	15.81	16.65	
196	10.21	15.90	16.87	15.86	16.72	
197	8.41	15.95	16.94	15.90	16.77	
198	7.11	15.98	17.00	15.92	16.82	
199	7.60	16.02	17.05	15.96	16.86	
200	9.19	16.07	17.09	16.00	16.90	
201	13.17	16.15	17.17	16.07	16.97	
202	16.97	16.22	17.58	16.13	17.35	
203	20.97	16.30	17.90	16.20	17.64	
204	22.69	16.32	18.02	16.21	17.73	
205	23.49	16.36	18.05	16.25	17.75	
206	22.61	16.55	17.92	16.44	17.61	
207	22.01	16.51	17.96	16.38	17.65	
208	20.51	16.58	17.90	16.44	17.58	
209	19.41	16.61	17.90	16.47	17.58	
210	17.02	16.60	17.90	16.45	17.57	
211	15.02	16.59	17.91	16.44	17.57	
212	12.42	12.62	12.85	12.61	12.83	
213	11.11	11.33	11.58	11.32	11.56	
214	10.01	10.25	10.51	10.24	10.50	
215	10.20	14.95	15.91	15.01	15.88	
216	10.00	15.24	16.27	15.25	16.17	
217	10.69	15.40	16.45	15.38	16.31	
218	10.40	15.49	16.56	15.46	16.40	
219	10.50	15.56	16.64	15.51	16.47	
220	9.31	15.61	16.71	15.55	16.52	
221	7.61	15.64	16.76	15.57	16.56	
222	6.91	15.67	16.81	15.59	16.60	
223	7.59	15.71	16.85	15.63	16.64	
224	8.99	15.76	16.89	15.66	16.67	
225	12.07	15.80	17.04	15.70	16.81	
226	15.07	15.90	17.36	15.80	17.10	
227	18.17	15.97	17.57	15.86	17.28	
228	19.79	16.02	17.69	15.90	17.38	
229	20.89	16.06	17.73	15.93	17.40	
230	20.60	16.15	17.65	16.02	17.32	
231	20.40	16.21	17.62	16.06	17.29	
232	19.21	16.27	17.61	16.12	17.28	
233	18.01	16.27	17.63	16.11	17.29	
234	15.82	16.26	17.63	16.10	17.28	
235	13.82	16.25	17.63	16.09	17.29	
236	11.62	11.83	12.08	11.82	12.05	
237	10.51	10.73	10.98	10.72	10.97	
238	9.61	9.84	10.10	9.84	10.09	
239	9.60	14.51	15.52	14.56	15.48	
240	9.30	14.81	15.88	14.81	15.78	
241	9.50	14.96	16.06	14.94	15.93	
242	9.00	15.06	16.18	15.01	16.02	
243	8.90	15.13	16.27	15.07	16.09	
244	8.01	15.18	16.33	15.10	16.14	
245	7.21	15.21	16.39	15.13	16.18	
246	6.90	15.25	16.44	15.16	16.22	
247	7.89	15.31	16.48	15.22	16.26	
248	9.39	15.34	16.52	15.24	16.29	
249	12.18	15.41	16.61	15.30	16.38	
250	14.68	15.47	16.95	15.36	16.70	
251	17.38	15.53	17.22	15.41	16.93	
252	18.89	15.64	17.23	15.52	16.92	
253	20.19	15.67	17.29	15.53	16.97	
254	20.60	15.78	17.24	15.64	16.92	
255	21.10	15.80	17.22	15.65	16.89	
256	20.31	15.86	17.22	15.70	16.89	
257	19.21	15.86	17.22	15.70	16.88	
258	16.62	15.85	17.22	15.68	16.88	
259	14.12	15.84	17.23	15.67	16.89	
260	11.42	11.63	11.88	11.62	11.85	
261	10.11	10.34	10.59	10.33	10.58	
262	9.31	9.53	9.79	9.53	9.78	
263	9.60	14.15	15.16	14.19	15.13	
264	9.40	14.45	15.52	14.44	15.43	
265	9.50	14.60	15.71	14.57	15.57	
266	8.81	14.69	15.82	14.64	15.66	
267	8.40	14.76	15.91	14.69	15.73	
268	7.41	14.80	15.97	14.72	15.78	
269	8.00	14.85	16.03	14.76	15.82	
270	7.41	14.88	16.07	14.78	15.86	
271	8.29	14.93	16.12	14.82	15.90	
272	9.39	14.97	16.16	14.86	15.93	
273	12.67	15.03	16.34	14.91	16.11	
274	15.67	15.10	16.68	14.98	16.42	
275	19.17	15.18	16.96	15.05	16.66	
276	20.79	15.26	16.98	15.13	16.66	
277	21.99	15.33	16.97	15.19	16.64	
278	21.60	15.40	16.93	15.24	16.60	
279	21.60	15.44	16.90	15.28	16.56	
280	20.11	15.49	16.90	15.32	16.56	
281	19.01	15.52	16.91	15.34	16.56	
282	16.42	15.49	16.90	15.32	16.55	
283	14.52	15.49	16.91	15.31	16.56	
284	12.22	12.38	12.58	12.37	12.55	
285	11.60	11.75	11.94	11.75	11.93	
286	10.71	10.88	11.09	10.88	11.07	
287	10.80	10.94	11.12	10.94	11.11	
288	9.81	13.98	14.93	13.99	14.87	
289	9.50	14.21	15.23	14.19	15.12	
290	8.41	14.33	15.39	14.28	15.25	
291	8.50	14.41	15.50	14.34	15.33	
292	7.81	14.47	15.57	14.39	15.39	
293	8.79	14.53	15.64	14.43	15.44	
294	7.91	14.56	15.69	14.46	15.48	
295	8.50	14.60	15.73	14.49	15.52	
296	9.79	14.64	15.77	14.53	15.55	
297	13.17	14.72	15.89	14.60	15.66	
298	16.67	14.80	16.21	14.67	15.95	
299	20.37	14.88	16.43	14.74	16.14	
300	22.18	14.95	16.56	14.81	16.25	
301	23.09	15.00	16.59	14.86	16.26	
302	22.21	15.05	16.51	14.89	16.18	
303	21.41	15.11	16.49	14.94	16.16	
304	19.61	15.14	16.49	14.97	16.15	
305	18.41	15.16	16.49	14.98	16.15	
306	16.32	15.15	16.49	14.97	16.15	
307	15.01	15.16	16.50	14.97	16.16	
308	13.21	13.32	13.46	13.31	13.43	
309	12.51	12.61	12.76	12.61	12.74	
310	11.61	11.74	11.91	11.74	11.90	
311	11.40	11.53	11.68	11.52	11.67	
312	10.61	14.10	14.98	14.07	14.89	
313	10.50	14.28	15.23	14.22	15.09	
314	9.81	14.38	15.36	14.30	15.20	
315	9.90	14.45	15.45	14.35	15.26	
316	9.11	14.50	15.52	14.39	15.32	
317	9.60	14.54	15.58	14.42	15.36	
318	9.70	14.58	15.62	14.46	15.40	
319	10.99	14.63	15.66	14.49	15.43	
320	12.39	14.67	15.70	14.54	15.47	
321	14.98	14.74	15.90	14.60	15.65	
322	17.18	14.81	16.16	14.66	15.88	
323	19.58	14.92	16.38	14.76	16.08	
324	20.69	14.93	16.50	14.76	16.17	
325	21.59	14.93	16.57	14.76	16.23	
326	21.60	15.11	16.45	14.93	16.11	
327	21.80	15.11	16.43	14.92	16.08	
328	21.01	15.18	16.42	14.99	16.07	
329	20.01	15.21	16.43	15.00	16.07	
330	17.72	15.18	16.42	14.98	16.06	
331	15.72	15.17	16.43	14.97	16.07	
332	13.42	13.52	13.65	13.51	13.63	
333	12.41	12.53	12.68	12.52	12.66	
334	11.61	11.74	11.91	11.74	11.89	
335	11.60	11.72	11.86	11.71	11.85	
336	10.91	14.14	14.98	14.10	14.87	
337	10.70	14.32	15.22	14.24	15.06	
338	9.81	14.42	15.35	14.32	15.16	
339	9.70	14.48	15.44	14.36	15.23	
340	9.20	14.53	15.50	14.40	15.28	
341	8.80	14.57	15.55	14.43	15.32	
342	7.61	14.60	15.60	14.45	15.36	
343	8.00	14.63	15.64	14.48	15.39	
344	9.39	14.67	15.68	14.51	15.42	
345	13.07	14.74	15.80	14.57	15.54	
346	16.77	14.81	16.11	14.64	15.82	
347	20.77	14.88	16.41	14.71	16.09	
348	22.59	14.95	16.51	14.77	16.16	
349	23.39	15.01	16.48	14.82	16.12	
350	22.41	15.07	16.43	14.87	16.07	
351	21.51	15.13	16.40	14.92	16.03	
352	19.81	15.15	16.39	14.94	16.02	
353	18.61	15.16	16.39	14.94	16.02	
