PZT 0	PZT 1	PZT 2	PZT 3	PZT 4	PTMT 0	PTMT 1	PTMT 2	PTMT 3	PTMT 4	
11.55	22.00	22.00	22.00	22.00	0.00	22.00	22.00	22.00	22.00	
11.55	22.00	22.00	22.00	22.00	0.00	22.00	22.00	22.00	22.00	
11.55	22.00	22.00	22.00	22.00	0.00	22.00	22.00	22.00	22.00	
11.55	22.00	22.00	22.00	22.00	0.00	22.00	22.00	22.00	22.00	
11.65	22.21	22.20	22.20	22.18	0.00	22.00	22.00	22.00	22.00	
11.65	22.21	22.20	22.20	22.18	0.00	22.00	22.00	22.00	22.00	
11.65	22.21	22.20	22.20	22.18	0.00	22.00	22.00	22.00	22.00	
11.65	22.21	22.20	22.20	22.18	0.00	22.00	22.00	22.00	22.00	
11.30	22.18	22.24	22.15	22.21	0.00	22.03	22.03	22.01	22.01	
11.30	22.18	22.24	22.15	22.21	0.00	22.03	22.03	22.01	22.01	
11.30	22.18	22.24	22.15	22.21	0.00	22.03	22.03	22.01	22.01	
11.30	22.18	22.24	22.15	22.21	0.00	22.03	22.03	22.01	22.01	
11.20	22.22	22.28	22.17	22.22	0.00	22.06	22.06	22.02	22.03	
11.20	22.22	22.28	22.17	22.22	0.00	22.06	22.06	22.02	22.03	
11.20	22.22	22.28	22.17	22.22	0.00	22.06	22.06	22.02	22.03	
11.20	22.22	22.28	22.17	22.22	0.00	22.06	22.06	22.02	22.03	
10.80	22.28	22.31	22.21	22.24	0.00	22.09	22.09	22.04	22.04	
10.80	22.28	22.31	22.21	22.24	0.00	22.09	22.09	22.04	22.04	
10.80	22.28	22.31	22.21	22.24	0.00	22.09	22.09	22.04	22.04	
10.80	22.28	22.31	22.21	22.24	0.00	22.09	22.09	22.04	22.04	
10.40	22.31	22.34	22.23	22.25	0.00	22.12	22.13	22.05	22.06	
10.40	22.31	22.34	22.23	22.25	0.00	22.12	22.13	22.05	22.06	
10.40	22.31	22.34	22.23	22.25	0.00	22.12	22.13	22.05	22.06	
10.40	22.31	22.34	22.23	22.25	0.00	22.12	22.13	22.05	22.06	
10.65	22.28	22.37	22.18	22.27	0.00	22.15	22.16	22.06	22.07	
10.65	22.28	22.37	22.18	22.27	0.00	22.15	22.16	22.06	22.07	
